Time,w_f,F,N1,N2,P3,T5
0.079,0.870800068089224,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.08,0.871533508995631,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.081,0.872266893961757,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.082,0.873000222289869,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.083,0.87373349328229,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.084,0.874466706241401,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.085,0.875199860469642,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.086,0.87593295526951,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.087,0.876665989943562,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.088,0.877398963794415,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.089,0.878131876124748,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.09,0.878864726237299,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.091,0.879597513434872,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.092,0.88033023702033,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.093,0.881062896296602,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.094,0.88179549056668,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.095,0.882528019133622,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.096,0.883260481300552,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.097,0.883992876370659,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.098,0.884725203647201,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.099,0.885457462433501,32.0776550626015,7011.70482456823,12725.2695004106,1472.44669259881,1153.58844192269
0.1,1.52817710027701,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.101,1.52911223424965,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.102,1.53004729764243,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.103,1.53098228975896,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.104,1.53191720990291,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.105,1.53285205737803,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.106,1.53378683148815,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.107,1.53472153153714,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.108,1.53565615682897,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.109,1.5365907066677,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.11,1.53752518035743,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.111,1.53845957720235,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.112,1.53939389650674,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.113,1.54032813757494,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.114,1.54126229971138,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.115,1.54219638222055,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.116,1.54313038440706,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.117,1.54406430557555,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.118,1.54499814503078,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.119,1.54593190207756,32.228835629217,7019.96010664396,12731.8305755617,1479.68626396624,1158.23622789118
0.12,1.54686557602082,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.121,1.54779916616554,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.122,1.54873267181679,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.123,1.54966609227975,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.124,1.55059942685965,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.125,1.55153267486182,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.126,1.55246583559169,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.127,1.55339890835476,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.128,1.55433189245662,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.129,1.55526478720295,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.13,1.55619759189953,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.131,1.55713030585222,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.132,1.55806292836697,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.133,1.55899545874982,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.134,1.55992789630692,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.135,1.56086024034448,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.136,1.56179249016883,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.137,1.56272464508638,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.138,1.56365670440366,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.139,1.56458866742726,32.8210082627254,7030.52764930395,12740.26264908,1517.00912649125,1200.00311309215
0.14,1.56552053346389,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.141,1.56645230182034,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.142,1.56738397180352,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.143,1.56831554272042,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.144,1.56924701387814,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.145,1.57017838458387,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.146,1.57110965414491,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.147,1.57204082186866,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.148,1.5729718870626,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.149,1.57390284903435,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.15,1.57483370709161,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.151,1.57576446054218,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.152,1.57669510869399,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.153,1.57762565085504,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.154,1.57855608633346,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.155,1.57948641443748,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.156,1.58041663447544,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.157,1.58134674575579,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.158,1.58227674758707,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.159,1.5827,33.6602976202473,7065.0143861044,12767.475804201,1561.61605201331,1237.01695614035
0.16,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.161,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.162,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.163,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.164,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.165,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.166,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.167,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.168,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.169,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.17,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.171,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.172,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.173,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.174,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.175,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.176,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.177,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.178,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.179,1.5827,34.707728638852,7119.71569381536,12810.7354949795,1612.24174136497,1268.93035076492
0.18,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.181,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.182,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.183,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.184,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.185,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.186,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.187,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
0.188,1.5827,35.9283747614521,7191.40131146215,12867.5964462432,1667.74106910933,1295.64334441929
